no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets_value,loan_status
4, Graduate, No,15.38412668421143,16.475770165160203,6,6.679599185844383,16.791040175221152,1
3, Graduate, Yes,15.573368647930426,16.630919337267223,18,6.452048954437226,17.36799741582595,1
2, Graduate, Yes,15.90737474309945,16.920097281273396,18,6.6039438246004725,18.052511435038763,1
2, Not Graduate, Yes,15.29711532616119,16.447399470043365,6,6.698268054115413,17.442514634955867,1
5, Graduate, No,15.687312888712007,17.02635425145779,8,6.659293919683638,17.531518703797364,1
4, Not Graduate, Yes,15.671808704579888,16.72786127692704,16,5.771441123130016,17.588271519047417,0
1, Not Graduate, Yes,12.899222326086994,14.220976332738882,16,6.535241271013659,14.557448378884015,1
3, Graduate, No,15.702580358511794,16.91108821173685,4,6.1224928095143865,17.486735102284783,1
0, Not Graduate, Yes,15.068273812173887,16.349207451286784,10,6.1070228877422545,16.68907525404123,0
3, Not Graduate, No,14.77102238760702,15.90737474309945,12,6.054439346269371,16.716932206992077,0
5, Graduate, No,12.206077645517674,13.45883704259595,18,6.56244409369372,13.45883704259595,1
4, Graduate, No,15.747032114495013,16.61887099947687,8,6.056784013228625,17.410079360079497,0
1, Not Graduate, Yes,14.946912992035967,16.24031337217814,14,6.715383386334681,17.038378443942648,1
2, Not Graduate, Yes,15.274125813221904,16.372737946851277,20,6.428105272684596,17.175885979828397,1
5, Graduate, No,16.012735246411598,16.705882371415992,18,6.234410725718371,17.839074956014414,0
5, Graduate, No,15.990262393084793,16.888203918950687,18,6.419994928147142,18.00364901464724,1
5, Not Graduate, No,14.914123179965662,15.843658936835498,6,6.025865973825314,16.75467253293992,0
5, Graduate, No,15.404745967162468,16.380459992348886,10,6.763884908562435,17.458346099754813,1
1, Not Graduate, Yes,12.206077645517674,12.899222326086994,6,6.645090969505644,13.815511557963774,1
0, Not Graduate, No,15.702580358511794,16.46168542627038,20,5.8888779583328805,17.624392826645856,0
3, Graduate, Yes,15.009433329466965,16.15731646026544,12,6.705639094860003,17.220035762941695,1
2, Graduate, No,14.220976332738882,15.009433329466965,18,6.089044875446846,15.882373444019521,0
5, Graduate, No,15.816990693309524,17.115044322750297,4,5.771441123130016,18.049617077054286,1
3, Not Graduate, No,16.02378508137718,17.126053607854647,18,6.481577129276431,17.81003480332037,1
4, Not Graduate, Yes,15.53827733427679,16.677711496036597,10,6.270988431858299,17.393458479303888,0
4, Graduate, Yes,15.967272877502799,17.14413728263389,8,6.129050210060545,18.06257622151019,0
0, Not Graduate, Yes,16.066802461833923,17.36799741582595,4,6.284134161070802,17.813711277982097,1
5, Graduate, No,15.341567078850604,16.166885910365842,8,6.63200177739563,17.10763688174679,1
5, Not Graduate, No,16.066802461833923,16.915602891887552,20,5.8664680569332965,17.947471999809046,0
4, Graduate, No,15.76142084987672,16.75467253293992,6,6.16541785423142,17.122397296785223,0
